DEPTO,DOMINIO,AREA,UPM,NO_HOGAR,FACTOR,POBREZA,EMIGRACION_ID,OCC,P01I02,P01I03,P01I04,P01I05
1,1,1,2233,319,900,3,37,37,2,41,2018,3001
1,1,1,2924,430,848,3,397,20,1,25,2020,3013
1,3,2,3686,544,1304,3,192,68,1,28,2022,3001
1,1,1,3780,572,654,3,421,44,2,33,2021,3001
1,1,1,3780,568,654,3,170,46,1,19,2021,3001
1,1,1,4723,748,729,3,277,15,1,23,2018,3001
1,3,2,5203,830,1023,3,200,5,1,25,2023,3001
2,3,2,5537,969,172,3,233,38,1,21,2019,3001
2,3,2,5537,969,172,3,234,39,1,20,2021,3001
2,3,2,5537,968,172,3,109,59,1,29,2021,3002
2,3,2,5537,971,172,3,403,26,1,21,2019,3002
2,2,1,5574,1018,116,3,14,14,2,30,2022,3001
2,2,1,5574,1020,116,3,328,4,1,25,2019,3002
2,2,1,5574,1020,116,3,329,5,1,34,2021,3002
2,3,2,5620,1103,119,3,395,18,1,16,2019,3001
2,3,2,5620,1103,119,3,396,19,1,16,2019,3001
2,3,2,5620,1096,119,3,203,8,2,20,2020,3001
2,3,2,5620,1102,119,3,393,16,1,19,2018,3001
2,3,2,5620,1102,119,3,394,17,1,27,2023,3001
2,2,1,5643,1132,112,3,6,6,1,39,2018,3001
2,2,1,5643,1132,112,3,7,7,1,22,2021,3001
2,2,1,5643,1132,112,3,8,8,1,16,2022,3001
2,2,1,5643,1136,112,2,311,49,1,28,2022,3001
2,2,1,5680,1184,135,2,5,5,1,25,2018,3002
2,2,1,5693,1208,77,3,36,36,2,24,2020,3001
2,3,2,5705,1239,39,3,313,51,1,23,2018,3001
2,3,2,5705,1239,39,3,314,52,1,30,2023,3001
2,2,1,5781,1341,167,3,413,36,1,25,2021,3001
2,2,1,5781,1341,167,3,414,37,2,16,2021,3001
2,2,1,5781,1341,167,3,415,38,2,7,,3001
2,2,1,5781,1337,167,3,155,31,1,26,,4015
2,2,1,5781,1337,167,3,156,32,1,42,2022,4015
2,3,2,5815,1396,127,2,376,52,1,28,2023,3001
3,2,1,5901,1480,192,3,332,8,2,37,2019,4015
