DEPTO,DOMINIO,AREA,UPM,NO_HOGAR,FACTOR,POBREZA,TOTAL_PERS,PPB01,PPB02,PPB03,P01A01,P01A02,P01A03,P01A04,P01A05A,P01A05B,P01A05C,P01A05D,P01A05E,P01A05F,P01A06,P01B01,P01B02,P01B03,P01C01,P01C02A,P01C02B,P01C02C,P01C02D,P01C02E,P01C02F,P01C02G,P01C02H,P01C02I,P01C02J,P01C02K,P01C02L,P01C02M,P01C03A,P01C03B,P01C03C,P01C03D,P01C03E,P01C03F,P01C04,P01D01,P01D02,P01D03,P01D04,P01D05,P01D06,P01D07,P01D08,P01D09,P01D10,P01D11,P01D12,P01D13A,P01D13B,P01D14,P01D15A,P01D15B,P01D16,P01D17,P01D18,P01D19,P01D20A,P01D21A,P01D20B,P01D21B,P01D20C,P01D21C,P01D20D,P01D21D,P01D20E,P01D21E,P01D22,P01D23A,P01D23B,P01D24,P01D25,P01D26,P01D27,P01D28,P01D29,P01D30,P01D31A,P01D31B,P01D31C,P01D32,P01D33,P01D34,P01G01,P01H01,P01H02,P01H03,P01H04,P01H05,P01H06,P01H07,P01H08,P01H09,P01H10,P01H11,P01H12,P01H13,P01H14,P01H15,P01H16,P01I01A,P01I01B,P02B01,P02B02A,P02B02B,P02B02C,P02B02D,P02B02E,P02B02F,P02B02G,P02B03A,P02B03B,P02B03C,P02B04A,P02B04B,P02B04C,P02B05A,P02B05B
1,1,1,29,4,1070,3,1,1,1,1,1,2,1,1,1,1,1,2,1,1,6,3,N/A,1200,2,,,,,,,,,,,,,,,,,,,,,1,1,0,7,99,1,2,2,0,0,24,,,,,2,,4,1,1,1,1,200,2,,1,120,1,100,1,100,2,2,,1,0,,,2,,,,,,,,,1,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,4,2,2,2,2,2,2,2,,,,,,,,
1,1,1,29,2,1070,3,2,1,1,1,1,4,2,4,1,1,1,2,1,1,2,4,1000,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,1,2,2,90,0,24,,,,,2,,1,1,2,1,2,,2,,1,20,2,,2,,2,1,40,1,0,,,2,,,,,,,,,1,1,1,1,2,1,1,2,2,2,99,99,99,99,99,99,99,2,,3,2,2,2,2,2,2,2,,,,,,,,
1,1,1,29,1,1070,3,1,1,1,1,1,2,3,1,1,1,1,1,1,1,4,1,2000,N/A,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,290,4,1,0,1,1,1,1,2,92,0,24,,,,,2,,2,1,1,1,2,,1,90,1,130,1,250,2,,2,1,40,1,0,,,2,,,,,,,,,3,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,1,2,1,1,GUATEMALA,,,,1976,2
1,1,1,29,3,1070,3,1,1,1,1,1,3,1,1,1,1,1,2,1,1,7,3,N/A,2000,2,,,,,,,,,,,,,,,,,,,,,7,6,0,1,1,1,1,1,63,0,24,,,,,2,,4,1,1,1,2,,2,,1,200,1,200,2,,2,1,40,1,2,0,24,2,,,,,,,,,4,1,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,1,2,2,2,2,2,2,2,,,,,,,,
1,1,1,29,5,1070,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,7,1,6000,N/A,2,,,,,,,,,,,,,,,,,,,,,7,1,0,1,1,1,1,2,0,0,0,,,,,2,,2,1,1,1,1,320,1,0,1,400,1,0,1,100,2,1,40,1,0,,,2,,,,,,,,,3,1,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,4,1,2,2,2,2,2,1,1,1,GUATEMALA,,,,2023,7
1,1,1,220,24,2362,3,5,1,1,1,5,6,2,7,2,1,2,2,2,2,1,2,1200,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,6,,,,,,10,0,10,1,1,20,4,1,1,1,2,,2,,1,25,2,,1,100,2,1,25,1,0,,,1,1,5,150,0,5,1,2,3,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,,4,2,2,2,2,2,2,2,,,,,,,,
1,1,1,220,26,2362,3,3,1,1,1,1,2,1,2,1,1,1,2,1,1,3,3,N/A,1000,2,,,,,,,,,,,,,,,,,,,,,3,2,0,1,1,1,1,2,77,15,15,,,,,2,,4,1,1,1,2,,2,,1,199,1,150,1,125,2,1,45,1,0,,,2,,,,,,,,,3,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,220,25,2362,2,4,1,1,1,5,8,2,4,1,2,1,2,2,1,1,2,500,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,1,1,2,70,0,24,,,,,2,,1,3,1,1,2,,2,,1,10,2,,2,,5,,,1,0,,,1,2,4,15,0,5,1,2,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,220,23,2362,3,6,1,1,1,1,2,2,4,1,1,1,2,2,1,3,1,1500,N/A,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1000,3,3,0,1,1,6,,,,,,1,0,0,1,1,17,2,1,1,1,2,,2,,1,30,2,,1,100,1,1,45,1,0,,,1,2,1,3125,0,15,98,2,5,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,,3,2,2,2,2,2,2,1,1,1,GUATEMALA,,,,2021,8
1,1,1,220,27,2362,3,5,1,1,1,1,2,2,1,1,1,1,2,1,1,2,3,N/A,2800,2,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,1,1,1,190,7,12,,,,,2,,4,1,1,1,1,230,2,,1,10,1,230,1,230,2,1,50,1,0,,,2,,,,,,,,,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
